name,positions,rating,nationality,club,league
C. Lade,CDM; RB; LB,59,United States,New York Red Bulls,Major League Soccer
C. Lakin,CM; LB,60,England,Birmingham City,Championship
C. Lamb,ST,57,England,Chesterfield,League One
C. Lampe,GK,64,Bolivia,,
C. Lancaster,ST,59,England,Stevenage,League Two
C. Landa,CM,50,Mexico,Tiburones Rojos de Veracruz,Liga MX
C. Landu,LW,59,Netherlands,PEC Zwolle,Eredivisie
C. Landu Landu,CM; CB; CDM,63,Norway,Viking FK,Eliteserien
C. Lang,ST,57,England,Morecambe,League Two
C. Lannert,RB; LB,58,Germany,Verl,3. Liga
C. Lanoas,CB,65,Chile,Club Deportivo Palestino,Primera Division
C. Laprevotte,CM; LM,61,France,Sport-Club Freiburg,Bundesliga
C. Larin,ST,66,Canada,Orlando City Soccer Club,Major League Soccer
C. Larotonda,CDM; CM,68,Venezuela,Metropolitanos,Primera Division
C. Lasso,CB,61,Colombia,Tigres FC,Liga BetPlay
C. Latorre,CDM; CM,64,Uruguay,Blooming,Liga De Futbol Prof
C. Lattanzio,ST,58,Argentina,Estudiantes de La Plata,Liga Profesional
C. Lavery,ST,64,Northern Ireland,Sheffield Wednesday,Championship
C. Lawless,LWB; LB,54,England,Reading,Championship
C. Lawson,ST; LW,55,England,Sunderland,Premier League
C. Lazarus,CDM,51,Nigeria,Podbeskidzie Bielsko-Biała,Ekstraklasa
C. Lazăr,CDM; CM; CAM,72,Romania,,
C. Leak-Blunt,CM,51,England,Sheffield United,Premier League
C. Lederos,CAM,70,Chile,Deportes Iquique,Primera Division
C. Ledesma,ST,54,Paraguay,Club de Deportes Cobresal,Primera Division
C. Lee,CM; RM,60,England,Stevenage,League Two
C. Leemans,CM,60,Netherlands,PSV,Eredivisie
C. Leite,GK,59,Switzerland,FC Thun,Super League
C. Leitgeb,CM; CDM,73,Austria,FC Red Bull Salzburg,Bundesliga
C. Lema,CB,64,Argentina,Belgrano de Córdoba,Liga Profesional
C. Lemonheigh-Evans,ST,51,Wales,Bristol City,League One
C. Lendezo,LM; RM,70,Ecuador,,
C. Lenglet,CB,58,France,AS Nancy Lorraine,Ligue 2
C. Lennox,CB,52,Republic of Ireland,Shamrock Rovers,Premier Division
C. Lenz,LB; CB,56,Germany,Borussia Mönchengladbach,Bundesliga
C. Leonhard,GK,53,Germany,SV Darmstadt 98,2. Bundesliga
C. Lepoint,CM; CB; CAM,67,Belgium,KAA Gent,Jupiler Pro League
C. Lester,RM,59,Northern Ireland,Bolton Wanderers,Championship
C. Levingston,CM,49,Republic of Ireland,Bohemian FC,Premier Division
C. Lewington,GK,59,England,Colchester United,League One
C. Lewis,LW,50,New Zealand,,
C. Libertiaux,GK,56,Belgium,Royal Excel Mouscron,Jupiler Pro League
C. Lina,CDM,60,France,AS Monaco,Ligue 1
C. Lindley,CM,52,United States,Orlando City,Major League Soccer
C. Lindquist,RB,56,Norway,Strømsgodset IF,Eliteserien
C. Lines,CM; CAM,64,England,Port Vale,League One
C. Lipovac,ST,52,Sweden,Örebro SK,Allsvenskan
C. Lizarazo,CAM; LM,70,Colombia,Deportivo Cali,Liga BetPlay
C. Llama,LM; ST,63,Argentina,Club Atlético Colón,Liga Profesional
C. Lobatón,CM; CDM; LM,67,Peru,,
C. Lobella,LM; RM,68,Chile,CD Universidad de Concepción,Primera Division
C. Lobo,CM; CAM,54,India,,
C. Lobos,CM,54,Chile,Universidad Católica,Primera Division
C. Logan,GK,62,Republic of Ireland,Rochdale,League One
C. Lokesa,CAM,59,Belgium,RKC Waalwijk,Eredivisie
C. Lokoli-Ngoy,ST; RW,53,Australia,Sydney FC,A-League
C. Lokolingoy,ST; RW,54,Australia,Sydney,A-League
C. Lombardi,RW; LW; CF,62,Italy,Trapani,Serie B
C. Long,ST,59,England,Everton,Premier League
C. Lonsdale,LB,52,England,Bolton Wanderers,Championship
C. Lotefa,LM,51,Congo DR,Bohemians,Premier Division
C. Loufilou,CDM,52,Gabon,Ajaccio,Ligue 2
C. Louvion,CB; RB,67,France,Tours FC,Ligue 2
C. Lozano,GK,63,Mexico,Jaguares de Chiapas,Liga MX
C. Lucatero,CM,54,United States,Houston Dynamo,Major League Soccer
C. Lucchetti,GK,69,Argentina,Atlético Tucumán,Liga Profesional
C. Lucero,CM,54,Colombia,Deportivo Pasto,Liga BetPlay
C. Lucumí,ST,57,Colombia,Deportivo Cali,Liga BetPlay
C. Ludi,CB,69,Italy,Novara Calcio,Serie B
C. Ludueña,CAM,59,Argentina,Talleres Córdoba,Liga Profesional
C. Lukeba,CB,60,France,Olympique Lyonnais,Ligue 1
C. Luna,ST,70,Argentina,Club Atlético Tigre,Liga Profesional
C. Lungoyi,LW; ST,53,Switzerland,Lugano,Super League
C. Lungu,RM; LM,69,Zambia,FC Ural Yekaterinburg,Premier League
C. Lupatelli,GK,68,Italy,Fiorentina,Serie A
C. Luque,LM; ST; LW,69,Argentina,AD Alcorcón,La Liga 2
C. Lustenberger,LB,62,Switzerland,FC Luzern,Super League
C. Luyindama,CDM; CB,66,Congo DR,Standard de Liège,Jupiler Pro League
C. Lykke,LB,53,Denmark,Randers,Superliga
C. Lykogiannis,LB,70,Greece,SK Sturm Graz,Bundesliga
C. Lyle,GK,48,Scotland,Kilmarnock,Premiership
C. Lyon,GK,54,United States,Seattle Sounders FC,Major League Soccer
C. Lyons,ST; LM,53,Republic of Ireland,Bray Wanderers,Premier Division
C. López,GK,47,Colombia,Once Caldas,Liga BetPlay
C. Löwe,LB; LM,71,Germany,1. FC Kaiserslautern,2. Bundesliga
C. M'Bengue,LB,74,Senegal,Stade Rennais FC,Ligue 1
C. M'Bengué,LB,74,Senegal,Stade Rennais FC,Ligue 1
C. M'Bombwa,CAM,58,Australia,Macarthur,A-League
C. M'Mombwa,CAM,58,Australia,Macarthur,A-League
C. Mabiala,CDM,54,Congo,AJ Auxerre,Ligue 2
C. Maboulou,LW; ST; CAM,70,France,SC Bastia,Ligue 1
C. Mabwati,LM; RM,70,Congo DR,Columbus Crew,Major League Soccer
C. Mac-Intosch,CB,66,Suriname,SC Cambuur,Eredivisie
C. Mac-Intosh,CB,64,Netherlands,SC Cambuur,Eredivisie
C. MacDonald,LB,53,Scotland,Derby County,Championship
C. MacGillivray,GK,52,England,Walsall,League One
C. MacKay,GK,50,Scotland,Inverness Caledonian Thistle,Premiership
C. MacPherson,CM,54,Scotland,St. Mirren,Premiership
C. Machado,CDM,55,Bolivia,,
C. Mackail-Smith,ST,68,Scotland,Brighton & Hove Albion,Championship
C. Madu,CDM,66,Nigeria,CD Nacional,Liga Portugal
C. Mafla,LB,64,Colombia,Atlético Bucaramanga,Liga BetPlay
C. Mafoumbi,GK,55,France,Racing Club de Lens,Ligue 1
C. Magallán,LM; LW,67,Venezuela,Hermanos Colmenares,Primera Division
C. Magaña,RB; CB,57,Chile,CD Universidad de Concepción,Primera Division
C. Magerusan,ST,51,Romania,Bohemians,Premier Division
C. Maggio,RB; RM,76,Italy,Napoli,Serie A
C. Maghoma,CB,55,England,Tottenham Hotspur,Premier League
C. Magnay,RB; CB,59,Northern Ireland,Hartlepool United,League Two
C. Maguire,RM,66,Scotland,Sheffield Wednesday,Championship
C. Maher,RB,48,Republic of Ireland,Bray Wanderers,Premier Division
C. Mahoney,CAM; LM,55,England,Blackburn Rovers,Championship
C. Mahony,LB,49,Republic of Ireland,St. Patrick's Athletic,Premier Division
C. Maidana,LM; CAM,69,Argentina,Philadelphia Union,Major League Soccer
C. Mailula,CAM,60,South Africa,Mamelodi Sundowns,Premier League
C. Maimone,GK,56,Italy,Como,Serie B
C. Main,ST; CF,60,England,Doncaster Rovers,League One
C. Makgaka,CAM; RW; LW,62,South Africa,Orlando Pirates,Premier League
C. Makiadi,CDM; CM,74,Congo DR,SV Werder Bremen,Bundesliga
C. Makoun,CB; CDM,61,Venezuela,Inter Miami,Major League Soccer
C. Makreckis,RM; CAM; LM,58,Latvia,Borussia Dortmund II,3. Liga
C. Makridis,ST,63,Germany,Borussia Mönchengladbach,Bundesliga
C. Maldonado,CDM; CM,72,Chile,Colo-Colo,Primera Division
C. Malele,ST,57,Switzerland,Virtus Entella Chiavari,Serie B
C. Mallace,CDM,60,Scotland,Club de Foot Montréal,Major League Soccer
C. Malley,LW,51,England,Middlesbrough,Championship
C. Maloney,RB,58,United States,Columbus Crew,Major League Soccer
C. Malonga,LM,66,Congo,Stade Lavallois Mayenne FC,Ligue 2
C. Mamengi,CB; LB,62,Netherlands,FC Utrecht,Eredivisie
C. Mammarella,LB,66,Italy,SS Virtus Lanciano,Serie B
C. Manapo,CDM; CM,64,Ghana,Türkgücü-Ataspor,3. Liga
C. Mancilla,RB,54,Colombia,Atlético Huila,Liga BetPlay
C. Mandanne,ST; CF,67,France,En Avant de Guingamp,Ligue 1
C. Mandiangu,LW; ST,62,Germany,Hamilton Academical FC,Premiership
C. Mandouki,CM,63,France,Paris FC,Ligue 2
C. Manea,RB; CB,58,Romania,,
C. Manicone,ST,58,Italy,FC Lugano,Super League
C. Manley,RB,59,United States,Minnesota United,Major League Soccer
C. Mannella,CM,49,Canada,Toronto FC,Major League Soccer
C. Mansanelli,RM; CM,64,Argentina,Belgrano de Córdoba,Liga Profesional
C. Mansillas,ST; CF,69,Chile,CD O'Higgins,Primera Division
C. Manzinga,ST; LW; RW,60,France,Motherwell,Premiership
C. Marchisio,CM; CDM,83,Italy,Juventus,Serie A
C. Marcial,RB; LB; CB,62,Argentina,Platense,Liga Profesional
C. Marica,ST; RM,73,Romania,İttifak Holding Konyaspor,Super Lig
C. Marrugo,CAM; LM,67,Colombia,Independiente Medellín,Liga BetPlay
C. Marshall,CB,71,United States,Seattle Sounders FC,Major League Soccer
C. Martin,CAM,47,England,Accrington Stanley,League Two
C. Martina,CB; RB,69,Curacao,FC Twente,Eredivisie
C. Martinez,CAM,50,Panama,Columbus Crew,Major League Soccer
C. Martins,CDM; CM,69,Luxembourg,BSC Young Boys,Super League
C. Martins Pereira,CM,57,Luxembourg,Olympique Lyonnais,Ligue 1
C. Martschinko,LB; LM,61,Austria,SV Grödig,Bundesliga
C. Martínez,CDM; CM,62,Chile,AC Barnechea,Primera Division
C. Martínez Borja,ST; CF,68,Colombia,Tiburones Rojos de Veracruz,Liga MX
C. Marín,CM,57,Chile,Audax Italiano,Primera Division
C. Masterson,CB,60,Republic of Ireland,Liverpool,Premier League
C. Masuda,CM; CAM; CDM,66,Japan,Ulsan Hyundai FC,K League 1
C. Matei,RW; CAM,69,Romania,,
C. Mathenia,GK,62,Germany,SV Darmstadt 98,2. Bundesliga
C. Matheu,CB,66,Argentina,Defensa y Justicia,Liga Profesional
C. Matombo,CM; CAM; RM,62,South Africa,Kaizer Chiefs,Premier League
C. Matsima,CB,64,France,AS Monaco,Ligue 1
C. Mauersberger,CAM; CM; RM,62,Germany,FSV Zwickau,3. Liga
C. Maury,GK,61,France,GFC Ajaccio,Ligue 2
C. Mavinga,LB,73,France,Rubin Kazan,Premier League
C. Mavrias,RM; CAM; LM,69,Greece,Sunderland,Premier League
C. Mawissa Elebi,CB; LB; RB,60,France,Toulouse,Ligue 1
C. Maxim,RB,52,Romania,Gaz Metan Mediaş,Liga 1
C. Maxwell,GK,54,Wales,Fleetwood Town,League One
C. Mayada,RM,71,Uruguay,,
C. Maycock,CM,51,England,Coventry City,League One
C. Mayounga Ngolou,LWB; CB,55,Central African Republic,Wolverhampton Wanderers,Premier League
C. Mazo,LB,55,Colombia,Deportes Tolima,Liga BetPlay
C. Mbamba,RM; LM,62,Sweden,Port Vale,League One
C. Mbemba,CB,72,Congo DR,RSC Anderlecht,Jupiler Pro League
C. Mbulu,CB,52,England,Millwall,League One
C. McAleer,RM,53,Northern Ireland,Finn Harps,Premier Division
C. McAleny,ST; LM,61,England,Everton,Premier League
C. McBride,RM,49,Republic of Ireland,Finn Harps,Premier Division
C. McCabe,RB,53,Republic of Ireland,Wexford Youths,Premier Division
C. McCann,CM; CDM,67,Republic of Ireland,Wigan Athletic,Championship
C. McCarthy,CB,47,Republic of Ireland,Cork City,Premier Division
C. McCormack,RB; CM; CDM,57,Republic of Ireland,St. Patrick's Athletic,Premier Division
C. McCowatt,RW; LW; ST,60,New Zealand,,
C. McDermott,CM,45,Republic of Ireland,Derry City,Premier Division
C. McDonald,CM,49,Republic of Ireland,Dundalk FC,Premier Division
C. McFadzean,LM; LB,58,England,Burton Albion,League Two
C. McGahan,CM,47,Republic of Ireland,Drogheda United,Premier Division
C. McGeehan,CM; CDM; CAM,53,Northern Ireland,Norwich City,Championship
C. McGilp,CM,50,Australia,Melbourne Victory,A-League
C. McGrandles,RM; LM; CM,59,Scotland,Norwich City,Championship
C. McGregor,CAM; RM; CM,65,Scotland,Celtic,Premiership
C. McGuigan,CB; CM,53,Republic of Ireland,Drogheda United,Premier Division
C. McGuinness,CB,49,Republic of Ireland,Longford Town,Premier Division
C. McHugh,LB; CB,58,Republic of Ireland,Plymouth Argyle,League Two
C. McJannet,LB,57,England,Stoke City,Premier League
C. McKenna,CB,54,Scotland,Hamilton Academical FC,Premiership
C. McLaren,ST,51,Scotland,St. Johnstone FC,Premiership
C. McLaughlin,RB; CB,55,Northern Ireland,Fleetwood Town,League One
C. McLennan,ST,52,Scotland,Aberdeen,Premiership
C. McManaman,RW; LW; RM,71,England,Wigan Athletic,Championship
C. McNeill,ST,62,England,Manchester United,Premier League
C. McVey,RB,54,Sweden,Elfsborg,Allsvenskan
C. McWilliams,RB; CM,51,England,Northampton Town,League Two
C. Medina,RB,51,Chile,Unión La Calera,Primera Division
C. Medjani,CB; CDM,70,Algeria,Trabzonspor,Super Lig
C. Mejía,RM; ST,62,Colombia,Uniautónoma FC,Liga BetPlay
C. Melderem,RM,66,Turkey,Türkgücü-Ataspor,3. Liga
C. Melgar,CAM,66,Bolivia,Wilstermann,Liga De Futbol Prof
C. Meli,CM,69,Argentina,Boca Juniors,Liga Profesional
C. Melinte,CB,64,Romania,UTA Arad,Liga 1
C. Melivilú,ST,62,Chile,Audax Italiano,Primera Division
C. Melody,RM,49,Republic of Ireland,Galway United,Premier Division
C. Mena,CB,62,Colombia,Atlético Huila,Liga BetPlay
C. Menacho,CM,56,Bolivia,Blooming,Liga De Futbol Prof
C. Mendy,CDM,55,Cameroon,SC Bastia,Ligue 1
C. Meneses,LB,57,Costa Rica,IFK Norrköping,Allsvenskan
C. Menz,CB; CDM; RB,65,Germany,FC Rot-Weiß Erfurt,3. Liga
C. Menéndez,ST,64,Argentina,Club Atlético Lanús,Liga Profesional
C. Mepham,CB,53,England,Brentford,Championship
C. Meppen-Walter,CB,55,England,Carlisle United,League Two
C. Mercado,ST,53,Colombia,Cortuluá,Liga BetPlay
C. Merrie,CM,54,England,Wigan Athletic,Championship
C. Merville,GK,66,France,US Créteil-Lusitanos,Ligue 2
C. Mesa,CB,50,Colombia,América de Cali,Liga BetPlay
C. Messerer,CDM,52,Austria,St. Pölten,Bundesliga
C. Mestierra,ST; RM,72,Chile,CD Universidad de Concepción,Primera Division
C. Mestre,CM,55,Colombia,Fortaleza CEIF,Liga BetPlay
C. Mesías,LM; LW,55,Chile,Club de Deportes Cobresal,Primera Division
C. Metcalfe,CM,50,Australia,Melbourne City FC,A-League
C. Meza,CB,49,Colombia,Atlético Bucaramanga,Liga BetPlay
C. Mfuyi,CB,59,Congo DR,Servette FC,Super League
C. Michelin,RB,64,France,Toulouse Football Club,Ligue 1
C. Miglietta,CM,64,Italy,Novara Calcio,Serie B
C. Millar,CM; RM,61,Scotland,St. Johnstone FC,Premiership
C. Miller,ST,53,Scotland,Celtic,Premiership
C. Mimbala,CB,64,Congo DR,SC Fortuna Köln,3. Liga
C. Mina,LW,57,Colombia,Cúcuta Deportivo,Liga BetPlay
C. Mingiedi,CB,60,Belgium,Sporting Lokeren,Jupiler Pro League
C. Minter,CAM; ST,58,United States,Columbus Crew,Major League Soccer
C. Miranda,LM; LW; RM; CAM,56,India,,
C. Missilou,CM,59,France,Stade Brestois 29,Ligue 2
C. Missimo,CM,54,United States,Philadelphia Union,Major League Soccer
C. Miszta,GK,50,Poland,Legia Warszawa,Ekstraklasa
C. Mitchell,GK,52,Northern Ireland,Burnley,Premier League
C. Mizell,GK,56,United States,New York City,Major League Soccer
C. Mmaee,ST,57,Morocco,Standard de Liège,Jupiler Pro League
C. Mochrie,CAM,54,Scotland,Dundee United,Premiership
C. Moisie,CB,57,Romania,Argeş,Liga 1
C. Mola,CDM; CB,60,England,Chelsea,Premier League
C. Molina,ST,51,Argentina,Club Atlético Banfield,Liga Profesional
C. Molinaro,LB; LM,72,Italy,Torino F.C.,Serie A
C. Monges,ST,62,Paraguay,Independiente Medellín,Liga BetPlay
C. Mongongu,CB,71,Congo DR,Évian Thonon Gaillard FC,Ligue 1
C. Monks,GK,51,England,Blackpool,Championship
C. Monsalvo,ST,68,Colombia,Club Deportes Tolima,Liga BetPlay
C. Monschein,ST,57,Austria,FC Flyeralarm Admira,Bundesliga
C. Montano,LM,62,Colombia,Bristol Rovers,League Two
C. Montaña,CDM,63,Venezuela,Academia Puerto Cabello,Primera Division
C. Montaño,LB,63,Colombia,Livingston,Premiership
C. Montes,CB,64,Mexico,CF Monterrey,Liga MX
C. Montgomery,CB,54,Canada,Dallas,Major League Soccer
C. Montiel,LB,64,Paraguay,River Plate,Primera División
C. Montoya,CB,54,Peru,Alianza Lima,Primera Division
C. Monty,GK,51,Denmark,København,Superliga
C. Moore,ST,54,Scotland,Motherwell,Premiership
C. Mora,RB,60,Italy,Cittadella,Serie B
C. Morales,LB; LM,68,Mexico,Monarcas Morelia,Liga MX
C. Moreno,CB,59,Argentina,Boca Juniors,Liga Profesional
C. Morgan,CB,65,Wales,Rotherham United,Championship
C. Moritz,CM; CDM; RM; CAM,73,Germany,1. FSV Mainz 05,Bundesliga
C. Moros Gracia,CB,63,Spain,Mjällby,Allsvenskan
C. Morra,ST,60,Italy,FC Pro Vercelli 1892,Serie B
C. Morris,ST,57,England,Oxford United,League Two
C. Morrison,ST,53,Republic of Ireland,Cork City,Premier Division
C. Morton,ST,62,England,West Bromwich Albion,Championship
C. Mosca,CDM,60,Argentina,San Martín de San Juan,Liga Profesional
C. Moses,ST,58,Sierra Leone,Värnamo,Allsvenskan
C. Mosquera,CM,54,Colombia,Deportivo Pasto,Liga BetPlay
C. Moya,CDM,57,Chile,Universidad Chile,Primera Division
C. Moţi,CB,70,Romania,,
C. Mueller,ST,57,United States,Orlando City,Major League Soccer
C. Mulgrew,CM; LM; CB,68,Scotland,Celtic,Premiership
C. Mulhall,RM; RW,53,Republic of Ireland,UCD AFC,Premier Division
C. Munder,RW,61,Cuba,Universidad Católica,Primera Division
C. Murphy,LM; LB,46,Republic of Ireland,Limerick FC,Premier Division
C. Murray,CM; LM; RM,51,England,York City,League Two
C. Musonda,CAM,58,Belgium,Chelsea,Premier League
C. Mutawe,CB,48,Republic of Ireland,Drogheda United,Premier Division
C. Muñoz,GK,64,Argentina,CD Universidad de Concepción,Primera Division
C. Myers,RB; LB,66,United States,Sporting Kansas City,Major League Soccer
C. Myklebust,RW; LW; ST,62,Norway,Aalesunds FK,Eliteserien
C. Månsson,GK,59,Sweden,Kristiansund BK,Eliteserien
C. Mørch,GK,46,Norway,Stabæk Fotball,Eliteserien
C. Múnera,CAM,52,Colombia,Boyacá Chicó,Liga BetPlay
C. Múñera,CAM,50,Colombia,Boyacá Chicó FC,Liga BetPlay
C. Müller,CAM; LM; RM,66,Germany,DSC Arminia Bielefeld,2. Bundesliga
C. Măgerușan,ST,53,Romania,Bohemian FC,Premier Division
C. Măgureanu,ST,53,Romania,Dinamo Bucureşti,Liga 1
C. N'Doye,CDM; CM,72,Senegal,Angers SCO,Ligue 1
C. N'Guessan,CM,54,England,Burnley,Premier League
C. N'Jié,RW; ST,60,Cameroon,Olympique Lyonnais,Ligue 1
C. N'Sikulu,LW; RW,61,France,Évian Thonon Gaillard FC,Ligue 1
C. N'Toko,CB; RB,65,Belgium,NAC Breda,Eredivisie
C. N'Zogbia,CAM; LM; RM,75,France,Aston Villa,Premier League
C. Nade,ST; CF,63,France,Hamilton Academical FC,Premiership
C. Nadé,ST; CF,63,France,Hamilton Academical,Premiership
C. Nanetti,ST,52,Italy,Cork City,Premier Division
C. Nasuti,CB,71,Argentina,Deportivo Cali,Liga BetPlay
C. Natali,CB,74,Italy,U.S. Sassuolo Calcio,Serie A
C. Naumoff,LM; ST,56,Australia,Sydney FC,A-League
C. Nava,RW,62,Mexico,Club Atlas,Liga MX
C. Navarrete,CB; RB,55,Chile,Univ. Concepción,Primera Division
C. Nazarit,ST,69,Colombia,Deportivo Pasto,Liga BetPlay
C. Ndaba,CB,56,Republic of Ireland,Ipswich Town,League One
C. Ndiaye,ST,55,Senegal,Waasland-Beveren,Jupiler Pro League
C. Ndoye,CDM; CM,67,Senegal,US Créteil-Lusitanos,Ligue 2
C. Neal,GK,62,England,Port Vale,League One
C. Neculñir,CB,60,Chile,Deportivo San Marcos de Arica,Primera Division
C. Negele,CAM,59,Germany,Heidenheim,2. Bundesliga
C. Negoescu,RM,54,Romania,UTA Arad,Liga 1
C. Neguț,ST,64,Romania,AFC Chindia Târgoviște,Liga 1
C. Nelson,CB; RB,61,England,Plymouth Argyle,League Two
C. Neumann,ST,67,Paraguay,Sport Huancayo,Primera Division
C. Nevorrete,RB,74,Chile,CD O'Higgins,Primera Division
C. Newton,RM; CM,63,England,Rotherham United,Championship
C. Neyra,LB; RB,66,Peru,Melgar,Primera Division
C. Ngonge,ST; LW; RW; LM,63,Belgium,Club Brugge KV,Jupiler Pro League
C. Ngu'Ewodo,ST,62,Germany,Hansa Rostock,3. Liga
C. Nhamoinesu,LB; CB,71,Zimbabwe,AC Sparta Praha,Fortuna Liga
C. Niasse,CDM; CB,60,Senegal,Lille,Ligue 1
C. Nica,RB; LB,62,Romania,Cesena,Serie A
C. Nicell,CM,57,Republic of Ireland,Leeds United,Championship
C. Nieldo,CDM; RB; CB,70,Chile,CD O'Higgins,Primera Division
C. Nielsen,LM; RM,55,Denmark,Esbjerg fB,Superliga
C. Nieuwenhof,CM,49,Australia,Sydney,A-League
C. Ninga,ST,63,Chad,Montpellier Hérault SC,Ligue 1
C. Njie,ST; LW,71,Cameroon,Olympique Marseille,Ligue 1
C. Nkunku,CM,62,France,Paris Saint-Germain,Ligue 1
C. Noboa,CDM; CAM,76,Ecuador,Dinamo Moscow,Premier League
C. Noonan,ST,48,Republic of Ireland,Shamrock Rovers,Premier Division
C. Noone,RM; LM,72,England,Cardiff City,Championship
C. Norman,RB; RM,54,England,Norwich City,Premier League
C. Norton,ST,60,Wales,Stoke City,Championship
C. Noß,CAM,63,Germany,Borussia Mönchengladbach,Bundesliga
C. Nsikulu,LW; RW,61,Congo DR,Évian Thonon Gaillard FC,Ligue 1
C. Nugent,GK,49,United States,Sligo Rovers,Premier Division
C. Nunnely,RW,66,Netherlands,Willem II,Eredivisie
C. Nuñez,CB; RB,61,Paraguay,Nacional Asunción,Primera División
C. Nwakali,LB; CM,59,Nigeria,Málaga CF,La Liga
C. Nyman,ST,61,Sweden,IFK Norrköping,Allsvenskan
C. Nöthe,ST; CF,68,Germany,FC St. Pauli,2. Bundesliga
C. Nørgaard,CM; CAM,59,Denmark,Brøndby IF,Superliga
C. Núñez,ST,62,Uruguay,Racing Club,Liga Profesional
C. O'Brien,CM; CDM,58,United States,SC Magna Wiener Neustadt,Bundesliga
C. O'Connell,CM,49,Republic of Ireland,Limerick FC,Premier Division
C. O'Connor,ST,47,Republic of Ireland,Dundalk FC,Premier Division
C. O'Donnell,GK,54,Republic of Ireland,UCD AFC,Premier Division
C. O'Dowda,LM; ST,54,England,Oxford United,League Two
C. O'Grady,ST,66,England,Brighton & Hove Albion,Championship
C. O'Hare,ST; CF; RW,57,England,Aston Villa,Championship
C. O'Keeffe,CB; RB,49,Republic of Ireland,Wexford Youths,Premier Division
C. O'Malley,GK,48,Republic of Ireland,Shamrock Rovers,Premier Division
C. O'Riordan,CB,52,England,Crewe Alexandra,League One
C. O'Toole,LB,54,Australia,Brisbane Roar,A-League
C. Obando,RB; CB,63,Ecuador,Mushuc Runa,Liga Pro
C. Obasi,RM; LM; ST,73,Nigeria,FC Schalke 04,Bundesliga
C. Obeng,RB,60,England,Swansea City,Premier League
C. Ochoa,ST; CF; RW,68,Mexico,Tiburones Rojos de Veracruz,Liga MX
C. Odenthal,CB,65,Netherlands,NEC,Eredivisie
C. Odoi-Atsem,RB,60,United States,D.C. United,Major League Soccer
C. Odunze,GK,56,United States,,
C. Oduor,CM,55,England,Leeds United,Championship
C. Offor,ST,54,Nigeria,Chicago Fire,Major League Soccer
C. Ofoedu,ST; RW,68,Nigeria,Sagan Tosu,J-League
C. Ofori,LB; LM,54,United States,New York RB,Major League Soccer
C. Ogbene,CM,43,Republic of Ireland,Cork City,Premier Division
C. Ogilvie,LB; CB,49,England,Tottenham Hotspur,Premier League
C. Ohene,CM,64,Ghana,Ohod Club,Pro League
C. Oikonomidis,CAM,59,Australia,Lazio,Serie A
C. Ojeda,LW; LM,58,Argentina,Talleres Córdoba,Liga Profesional
C. Okoli,CB,63,Italy,SPAL,Serie B
C. Okoroji,LB; LWB,58,England,Sport-Club Freiburg,Bundesliga
C. Olascuaga,LM,66,Peru,Associação Académica de Coimbra,Liga Portugal
C. Oldfield,GK,61,Republic of Ireland,Sydney,A-League
