name,positions,rating,club,league,nationality
Quiles,LM;ST;RM;LW,69,Albacete BP,LALIGA HYPERMOTION,Spain
Jhonny Quiñónez,CDM;CM;RM,69,Independiente,Primera División,Ecuador
Aleksandar Radovanović,CB,69,UD Almería,LALIGA HYPERMOTION,Serbia
Risto Radunović,LB,69,FCSB,SUPERLIGA,Montenegro
Yanis Rahmani,LM;RM;LW,69,Málaga CF,LALIGA HYPERMOTION,France
Antonio Raimondo,ST,69,Venezia,Serie A Enilive,Italy
Erdal Rakip,CDM;CM,69,Antalyaspor,Trendyol Süper Lig,North Macedonia
Hugo Rama,CAM;CM;LM,69,RC Deportivo,LALIGA HYPERMOTION,Spain
Iván Ramírez,RB,69,Libertad,Libertadores,Paraguay
Reinhold Ranftl,RM;RB;RW,69,FK Austria Wien,Ö. Bundesliga,Austria
Joe Rankin-Costello,RB;CM,69,Blackburn Rovers,EFL Championship,England
Oliver Rathbone,CM;CAM,69,Wrexham,EFL League One,England
Serge-Philippe Raux-Yao,CB,69,SK Rapid,Ö. Bundesliga,France
Alejandro Rébola,CB,69,Belgrano,Sudamericana,Argentina
Zé Carlos,RB,69,Gil Vicente,Liga Portugal,Portugal
Alex Pinto,RB,69,Arouca,Liga Portugal,Portugal
Rene Renner,LB;LM,69,LASK,Ö. Bundesliga,Austria
Rodrigo Ribeiro,ST;CAM;LW,69,Sporting CP,Liga Portugal,Portugal
Dante Rigo,CDM;CM,69,Grenoble Foot 38,Ligue 2 BKT,Belgium
Ríos Reina,LB,69,FC Cartagena,LALIGA HYPERMOTION,Spain
Octavio Rivero,ST,69,Barcelona SC,Libertadores,Uruguay
Cristian Rivero,GK,69,Albacete BP,LALIGA HYPERMOTION,Spain
Callum Robinson,ST;CAM,69,Cardiff City,EFL Championship,Republic of Ireland
Guzmán Rodríguez,CB,69,Peñarol,Libertadores,Uruguay
Jay Rodriguez,ST,69,Burnley,EFL Championship,England
Yonathan Rodríguez,CDM,69,Banfield,Primera División,Uruguay
Chema,CB;LB,69,SD Eibar,LALIGA HYPERMOTION,Spain
Alex Roldan,RB;RM,69,Sounders FC,MLS,El Salvador
Kevin Rolón,LB;LM,69,Wanderers,Sudamericana,Uruguay
Jhohan Romaña,CB;RB,69,San Lorenzo,Libertadores,Colombia
Carlos Romero,LB;LM,69,RCD Espanyol,LALIGA EA SPORTS,Spain
Dave Romney,CB,69,New England,MLS,United States
Farley,RM;LM;CAM;RW,69,Nantong Zhiyun FC,CSL,Brazil
Dany Rosero,CB,69,Sporting KC,MLS,Colombia
Miguel Rubio,CB,69,Granada CF,LALIGA HYPERMOTION,Spain
Jack Rudoni,CM;CAM;CDM,69,Coventry City,EFL Championship,England
Jean Ruiz,CB,69,Pau FC,Ligue 2 BKT,France
Ryu Jae Moon,CDM;CM,69,FC Seoul,K League 1,Korea Republic
Ibrahim Sadiq,RW;LW;RM,69,AZ,Eredivisie,Ghana
Moïse Sahi,ST;CAM,69,Strasbourg,Ligue 1 McDonald's,Côte d'Ivoire
Semih Sahin,CDM;CM,69,SV Elversberg,Bundesliga 2,Germany
Samuel Şahin-Radlinger,GK,69,FK Austria Wien,Ö. Bundesliga,Austria
Théo Sainte-Luce,LB,69,Montpellier,Ligue 1 McDonald's,France
Amir Saipi,GK,69,FC Lugano,CSSL,Switzerland
Henri Saivet,CM;CDM;CAM,69,Clermont Foot 63,Ligue 2 BKT,Senegal
Alessandro Salvi,RB;LB;CB,69,Cittadella,Serie BKT,Italy
Junior Sambia,RB;RM,69,Empoli,Serie A Enilive,France
Shurandy Sambo,RB,69,Burnley,EFL Championship,Holland
Sergi Samper,CDM;CM,69,Motor Lublin,PKO BP Ekstraklasa,Spain
San Román,GK,69,Elche CF,LALIGA HYPERMOTION,Spain
Mario Sanabria,RM;LM;RW,69,Dep. Riestra,Primera División,Argentina
Jaime Sánchez,CB;RB;CDM,69,RC Deportivo,LALIGA HYPERMOTION,Spain
Rubén Sánchez,RB;RM,69,Granada CF,LALIGA HYPERMOTION,Spain
Roque Santa Cruz,ST,69,Libertad,Libertadores,Paraguay
Danilo Santacruz,CAM;RM;LM,69,Guaraní,Sudamericana,Paraguay
Federico Santander,ST,69,Nacional,Libertadores,Paraguay
Derick Poloni,LB;RB,69,Farense,Liga Portugal,Brazil
Tayyip Sanuç,CB,69,Beşiktaş,Trendyol Süper Lig,Turkey
Ryan Sanusi,CDM;CM,69,K. Beerschot VA,1A Pro League,Belgium
Vinko Šapina,CDM;CM,69,Dynamo Dresden,3. Liga,Germany
Kingsley Sarfo,CAM;CM;RM,69,APOEL FC,Liga Cyprus,Ghana
Dario Šarić,CM;CDM,69,Palermo,Serie BKT,Bosnia and Herzegovina
Jeremy Sarmiento,LM;CAM;LW,69,Burnley,EFL Championship,Ecuador
Ľubomír Šatka,CB,69,Samsunspor,Trendyol Süper Lig,Slovakia
Gastón Sauro,CB,69,Sarmiento,Primera División,Argentina
Răzvan Sava,GK,69,Udinese,Serie A Enilive,Romania
Jasper Schendelaar,GK,69,PEC Zwolle,Eredivisie,Holland
Guilherme Schettine,ST,69,Moreirense FC,Liga Portugal,Brazil
Nicolas Schiavi,CAM;CM,69,Carrarese Calcio,Serie BKT,Argentina
Kingsley Schindler,RM;RB;RW,69,Samsunspor,Trendyol Süper Lig,Ghana
Fabian Schleusener,ST,69,Karlsruher SC,Bundesliga 2,Germany
Dominik Schmid,LB;LM,69,FC Basel 1893,CSSL,Switzerland
Luca Schnellbacher,ST,69,SV Elversberg,Bundesliga 2,Germany
Vladimir Screciu,CB;CDM,69,Univ. Craiova,SUPERLIGA,Romania
Jacopo Segre,CM;CDM,69,Palermo,Serie BKT,Italy
Eddie Segura,CB;RB,69,LAFC,MLS,Colombia
Egil Selvik,GK,69,FK Haugesund,Eliteserien,Norway
Bruno Sepúlveda,ST,69,Banfield,Primera División,Argentina
Janni Serra,ST,69,1. FC Nürnberg,Bundesliga 2,Germany
Michal Ševčík,CAM;CM,69,1. FC Nürnberg,Bundesliga 2,Czech Republic
Yoan Severin,CB,69,Servette FC,CSSL,France
Jamie Shackleton,RB;CM;LB,69,Sheffield Utd,EFL Championship,England
Conor Shaughnessy,CB,69,Portsmouth,EFL Championship,Republic of Ireland
Mohamed Sherif,ST,69,Al Khaleej,ROSHN Saudi League,Egypt
Shin Jin Ho,CM;CDM,69,Incheon United,K League 1,Korea Republic
Graeme Shinnie,CDM;CM,69,Aberdeen,Scottish Prem,Scotland
Otabek Shukurov,CM;CDM,69,Al Fayha,ROSHN Saudi League,Uzbekistan
Niko Sigur,RB;CDM;CM,69,Hajduk Split,Liga Hrvatska,Croatia
Arnór Sigurðsson,LM;LW,69,Blackburn Rovers,EFL Championship,Iceland
Hugo Silveira,ST,69,Racing Club,Sudamericana,Uruguay
Sheriff Sinyan,CB,69,Odds BK,Eliteserien,Gambia
Nikola Šipčić,CB,69,FC Cartagena,LALIGA HYPERMOTION,Montenegro
Tommy Smith,RB,69,Middlesbrough,EFL Championship,England
Viv Solomon-Otabor,LM;LW;RM,69,Cangzhou FC,CSL,Nigeria
Jesús Soraire,CM;CDM,69,Banfield,Primera División,Argentina
Christian Sørensen,LB,69,FC Midtjylland,3F Superliga,Denmark
Deian Sorescu,RM;RB;RW,69,Gaziantep,Trendyol Süper Lig,Romania
Leandro Sosa,CDM;LB;CM,69,Danubio,Sudamericana,Uruguay
Diego Sosa,LB;LM,69,Peñarol,Libertadores,Argentina
Ignacio Sosa,CM,69,Peñarol,Libertadores,Uruguay
Saïdou Sow,CB,69,Strasbourg,Ligue 1 McDonald's,Guinea
Kamal Sowah,ST;CAM,69,Club Brugge,1A Pro League,Ghana
Jay Stansfield,ST,69,Birmingham City,EFL League One,England
Herman Stengel,CM,69,Strømsgodset IF,Eliteserien,Norway
Greg Stewart,CAM,69,Mohun Bagan SG,ISL,Scotland
Leo Štulac,CDM;CM,69,Reggiana,Serie BKT,Slovenia
Callum Styles,LB;CM,69,West Brom,EFL Championship,Hungary
Matías Suárez,ST,69,Belgrano,Sudamericana,Argentina
Lucas Suárez,CB;LB,69,Talleres,Libertadores,Argentina
Mateo Sušić,RB,69,APOEL FC,Liga Cyprus,Bosnia and Herzegovina
Gustav Svensson,CB;CDM,69,IFK Göteborg,Allsvenskan,Sweden
Michael Svoboda,CB,69,Venezia,Serie A Enilive,Austria
Mark Sykes,RM;RW;RB,69,Bristol City,EFL Championship,Republic of Ireland
Vicente Taborda,CAM;CM;ST,69,Boca Juniors,Sudamericana,Argentina
Matthäus Taferner,CM;CAM,69,WSG Tirol,Ö. Bundesliga,Austria
Fabian Tait,CM;CAM,69,Südtirol,Serie BKT,Italy
Miguel Tapias,CB;LB,69,Minnesota United,MLS,Mexico
Varol Tasar,RM;RW,69,Yverdon Sport FC,CSSL,Germany
Jefferson Tavares,ST,69,Wilstermann,Sudamericana,Brazil
Benjamin Tetteh,ST;LM,69,FC Metz,Ligue 2 BKT,Ghana
Rasmus Thelander,CB,69,AaB,3F Superliga,Denmark
Denis Thomalla,CAM;CM,69,Heidenheim,Bundesliga,Germany
Lawrence Thomas,GK,69,WS Wanderers,A-League,Australia
Jordan Thompson,CM;CDM;LB,69,Stoke City,EFL Championship,Northern Ireland
Christ Tiéhi,CDM;CM,69,Rotherham Utd,EFL League One,Côte d'Ivoire
Emirhan Topçu,CB,69,Beşiktaş,Trendyol Süper Lig,Turkey
Fáiner Torijano,CB,69,Indep. Medellín,Sudamericana,Colombia
Victor Torp,CM;CDM;CAM,69,Coventry City,EFL Championship,Denmark
Ernesto Torregrossa,ST,69,Salernitana,Serie BKT,Venezuela
Miguel Ángel Torrén,CB,69,Unión,Primera División,Argentina
Almamy Touré,CB;RB;RM,69,Kaiserslautern,Bundesliga 2,Mali
Nicolò Tresoldi,ST,69,Hannover 96,Bundesliga 2,Germany
Philipp Treu,LB;LM;RB,69,FC St. Pauli,Bundesliga,Germany
Alfonso Trezza,RM;LM;RW,69,Arouca,Liga Portugal,Uruguay
Cristian Trujillo,CDM;CM,69,Deportes Tolima,Sudamericana,Colombia
Giorgi Tsitaishvili,RM;RW,69,Granada CF,LALIGA HYPERMOTION,Georgia
Indrit Tuci,ST;RW,69,Sparta Praha,Česká Liga,Albania
Nahuel Ulariaga,ST,69,Godoy Cruz,Primera División,Argentina
Leonardo Buta,LB,69,Moreirense FC,Liga Portugal,Portugal
Fredrik Ulvestad,CM;CDM,69,Pogoń Szczecin,PKO BP Ekstraklasa,Norway
Kacper Urbański,CAM;CM;LM,69,Bologna,Serie A Enilive,Poland
Jonathan Urretaviscaya,CAM;CM;LM,69,Racing Club,Sudamericana,Uruguay
Edgaras Utkus,CB;CDM;RB,69,Cercle Brugge,1A Pro League,Lithuania
Necip Uysal,CB;CDM;RB,69,Beşiktaş,Trendyol Süper Lig,Turkey
Henry Vaca,LW;LM;RW,69,Bolívar,Libertadores,Bolivia
Leo Väisänen,CB,69,Austin FC,MLS,Finland
Diego Valencia,ST;RW,69,Salernitana,Serie BKT,Chile
Matěj Valenta,CM;CAM;CDM,69,Viktoria Plzeň,Česká Liga,Czech Republic
Lautaro Valenti,CB;LB,69,Parma,Serie A Enilive,Argentina
Gustav Valsvik,CB,69,Strømsgodset IF,Eliteserien,Norway
Mitchell van Bergen,RM;LM;RW,69,FC Twente,Eredivisie,Holland
Ruben van Bommel,LW;LM,69,AZ,Eredivisie,Holland
Myron van Brederode,LW;LM,69,Düsseldorf,Bundesliga 2,Holland
Mick van Buren,ST;RW,69,Cracovia,PKO BP Ekstraklasa,Holland
Sander van de Streek,CAM;CM,69,Antalyaspor,Trendyol Süper Lig,Holland
Thomas van den Belt,CM;CDM,69,CD Castellón,LALIGA HYPERMOTION,Holland
Rein Van Helden,CB,69,STVV,1A Pro League,Belgium
Bart van Rooij,RB,69,FC Twente,Eredivisie,Holland
Hugo Vandermersch,RB,69,FC St. Gallen,CSSL,France
Jordi Vanlerberghe,CB;CDM,69,Brøndby IF,3F Superliga,Belgium
Thibaut Vargas,RB;RM,69,Laval MFC,Ligue 2 BKT,France
Edwin Velasco,LB,69,América de Cali,Sudamericana,Colombia
Jairo Vélez,CAM;RM;LW,69,UCV,Sudamericana,Ecuador
Matías Vera,CDM;CM,69,Olimpia,Sudamericana,Argentina
Brayan Vera,CB,69,Real Salt Lake,MLS,Colombia
Tomás Verón,RW;ST;RM,69,Racing Club,Sudamericana,Argentina
Marko Vešović,RB,69,Qarabağ FK,Liga Azerbaijan,Montenegro
Ronaldo Vieira,CDM;CM,69,Sampdoria,Serie BKT,England
Oscar Vilhelmsson,ST,69,SV Darmstadt 98,Bundesliga 2,Sweden
Afonso Taira,CDM;CM,69,Al Kholood,ROSHN Saudi League,Portugal
Sam Vines,LB,69,Colorado Rapids,MLS,United States
Alan Virginius,RM;ST;RW,69,BSC Young Boys,CSSL,France
Alessio Vita,CM;CAM,69,Cittadella,Serie BKT,Italy
Alessandro Vogliacco,CB,69,Genoa,Serie A Enilive,Italy
Vojtěch Vorel,GK,69,Sparta Praha,Česká Liga,Czech Republic
Giacomo Vrioni,ST,69,New England,MLS,Albania
Murray Wallace,CB;LB,69,Millwall,EFL Championship,Scotland
Franco Watson,CAM;CM;LM,69,Huracán,Primera División,Argentina
Axel Werner,GK,69,Rosario Central,Libertadores,Argentina
Scott Wharton,CB,69,Blackburn Rovers,EFL Championship,England
Jack Whatmough,CB,69,Preston,EFL Championship,England
Joe Wildsmith,GK,69,West Brom,EFL Championship,England
Eryk Williamson,CDM;CM,69,Portland Timbers,MLS,United States
Ben Wilmot,CB,69,Stoke City,EFL Championship,England
Nick Woltemade,ST;CAM,69,VfB Stuttgart,Bundesliga,Germany
Nathan Wood,CB,69,Southampton,Premier League,England
Scott Wright,RM;LM;CAM;RW,69,Birmingham City,EFL League One,Scotland
Wu Xi,CM;CDM,69,Shanghai Shenhua,CSL,China PR
Yang Hyun Jun,RW;LW;RM,69,Celtic,Scottish Prem,Korea Republic
Jerry Yates,ST,69,Derby County,EFL Championship,England
John Yeboah,RW;CAM;RM,69,Venezia,Serie A Enilive,Ecuador
Mohamed Youssouf,RB,69,AC Ajaccio,Ligue 2 BKT,Netherlands
Jackson Yueill,CM;CDM,69,SJ Earthquakes,MLS,United States
Bakhtiyor Zainutdinov,LM;LB;CB;LW,69,Beşiktaş,Trendyol Süper Lig,Kazakhstan
Alexis Zapata,RM;CAM;RW,69,América de Cali,Sudamericana,Colombia
Franco Zapiola,LM;LW,69,Platense,Primera División,Argentina
Benedikt Zech,CB,69,Pogoń Szczecin,PKO BP Ekstraklasa,Austria
Zheng Zheng,CB,69,Shandong Taishan,CSL,China PR
Zhu Chenjie,CB,69,Shanghai Shenhua,CSL,China PR
Leopold Zingerle,GK,69,RB Leipzig,Bundesliga,Germany
Budu Zivzivadze,ST,69,Karlsruher SC,Bundesliga 2,Georgia
Simon Zoller,ST;RW;RM,69,FC St. Pauli,Bundesliga,Germany
Ismaël Aaneba,CB,68,Ferencvárosi TC,Magyar Liga,France
Matías Abaldo,RM;RW,68,Gimnasia,Primera División,Uruguay
Ishaq Abdulrazak,CM;RB;RM,68,Odds BK,Eliteserien,Nigeria
Tonni Adamsen,ST;CAM,68,Silkeborg IF,3F Superliga,Denmark
Bobby Adekanye,RM;RW,68,Go Ahead Eagles,Eredivisie,Holland
Braian Aguirre,RB;LB;RM,68,Lanús,Sudamericana,Argentina
Brian Aguirre,LW;LM;RW,68,Boca Juniors,Sudamericana,Argentina
Ahn Joon Soo,GK,68,Suwon FC,K League 1,Korea Republic
Darío Aimar,CB,68,The Strongest,Libertadores,Ecuador
Marian Aioani,GK,68,FC Rapid 1923,SUPERLIGA,Romania
Nariman Akhundzada,RW;CAM;RM,68,Qarabağ FK,Liga Azerbaijan,Azerbaijan
Fatih Aksoy,CB;CDM;RB,68,Alanyaspor,Trendyol Süper Lig,Turkey
Nawaf Al Aqidi,GK,68,Al Nassr,ROSHN Saudi League,Saudi Arabia
Muteb Al Harbi,LB;LM,68,Al Hilal,ROSHN Saudi League,Saudi Arabia
Mohammed Al Kuwaykibi,RM;RW,68,Al Taawoun,ROSHN Saudi League,Saudi Arabia
Hussain Al Qahtani,CM;CDM,68,Al Qadisiyah,ROSHN Saudi League,Saudi Arabia
Saleh Al Shehri,ST,68,Al Ittihad,ROSHN Saudi League,Saudi Arabia
Williams Alarcón,CM;CDM;LM,68,Huracán,Primera División,Chile
José Alberti,CM;CDM;CAM,68,Wanderers,Sudamericana,Uruguay
Alcalá,CB,68,FC Cartagena,LALIGA HYPERMOTION,Spain
Haitam Aleesami,CB;LB,68,KFUM-Kameratene,Eliteserien,Norway
Migouel Alfarela,ST,68,Legia Warszawa,PKO BP Ekstraklasa,France
Taha Abdi Ali,LM;RM;LW,68,Malmö FF,Allsvenskan,Sweden
Joe Allen,CDM;CM,68,Swansea City,EFL Championship,Wales
Jamie Allen,CM;CAM,68,Coventry City,EFL Championship,England
Ryan Allsop,GK,68,Birmingham City,EFL League One,England
Júnior Urso,CDM;CM,68,Charlotte FC,MLS,Brazil
Alex Álvarez,ST,68,Sportivo Luqueño,Sudamericana,Paraguay
Rodrigo Amaral,CAM;CM,68,Wilstermann,Sudamericana,Uruguay
Joel Amoroso,RM;LM;RW,68,The Strongest,Libertadores,Argentina
Ayoub Amraoui,LB;CB,68,FC Martigues,Ligue 2 BKT,Morocco
Malte Amundsen,CB;LB;LM,68,Columbus Crew,MLS,Denmark
Alexandros Anagnostopoulos,GK,68,Olympiacos FC,Hellas Liga,Greece
Keshi Anderson,LM;CAM;LW,68,Birmingham City,EFL League One,England
Nicolas,GK,68,Pisa,Serie BKT,Brazil
Kaio César,RW;LW;RM,68,Vitória SC,Liga Portugal,Brazil
Federico Andueza,CB,68,Central Córdoba,Primera División,Uruguay
Jeison Angulo,LB,68,Deportes Tolima,Sudamericana,Colombia
Mirko Antonucci,CAM;ST,68,Cesena,Serie BKT,Italy
João Silva,CB,68,KV Kortrijk,1A Pro League,Portugal
Arambarri,CB,68,SD Eibar,LALIGA HYPERMOTION,Spain
Óscar Aranda,LM;RM;LW,68,FC Famalicão,Liga Portugal,Spain
Carlens Arcus,RB,68,Angers SCO,Ligue 1 McDonald's,Haiti
Scott Arfield,CM;CAM,68,Bolton,EFL League One,Canada
Jann-Fiete Arp,ST;RM,68,Holstein Kiel,Bundesliga,Germany
Tommaso Arrigoni,CM;CDM,68,Südtirol,Serie BKT,Italy
Carlos Arrúa,CAM;CM;RM,68,Olimpia,Sudamericana,Paraguay
Daniel Arzani,RM;LM;RW,68,Melb. Victory,A-League,Australia
Sebastián Assís,CDM;CM,68,Cerro Largo,Sudamericana,Uruguay
Valentin Atangana,CDM;CM,68,Stade de Reims,Ligue 1 McDonald's,France
Nathaniel Atkinson,RB,68,Hearts,Scottish Prem,Australia
Arthur Atta,CAM;CM,68,Udinese,Serie A Enilive,France
Soner Aydoğdu,CDM;CM,68,Samsunspor,Trendyol Süper Lig,Turkey
Femi Azeez,RM;ST;LM;RW,68,Millwall,EFL Championship,England
Pedrinho,LB,68,Shakhtar Donetsk,Ukrayina Liha,Brazil
Iván Azón,ST,68,Real Zaragoza,LALIGA HYPERMOTION,Spain
Abdoullah Ba,RM;CAM;RW,68,Sunderland,EFL Championship,France
Pape Meissa Ba,ST,68,Grenoble Foot 38,Ligue 2 BKT,Senegal
Keanu Baccus,CM;CDM,68,Mansfield Town,EFL League One,Australia
Leandro Bacuna,RB;RM;CM,68,FC Groningen,Eredivisie,Curaçao
Gabriel Báez,LB,68,Nacional,Libertadores,Argentina
Mushaga Bakenga,ST,68,Punjab FC,ISL,Norway
Nordin Bakker,GK,68,Almere City FC,Eredivisie,Holland
Aliou Baldé,RW;RM,68,VfL Bochum 1848,Bundesliga,Guinea
Romário Baldé,LM;ST;LW,68,Wuhan Three Towns,CSL,Guinea-Bissau
William Balikwisha,CAM;CM;RM,68,OH Leuven,1A Pro League,Congo DR
Mamady Bangré,RM;RW,68,Grenoble Foot 38,Ligue 2 BKT,Burkina Faso
Bao Yaxiong,GK,68,Shanghai Shenhua,CSL,China PR
Kosta Barbarouses,ST;CAM,68,Well. Phoenix,A-League,New Zealand
Baltasar Barcia,RM;RB;LM;RW,68,Independiente,Primera División,Uruguay
Antonio Barreca,LB;LM,68,Sampdoria,Serie BKT,Italy
Lucas Bartlett,CB,68,D.C. United,MLS,United States
Enzo Basilio,GK,68,En Avant Guingamp,Ligue 2 BKT,France
Emrah Başsan,RM;RW,68,Sivasspor,Trendyol Süper Lig,Turkey
Afonso Moreira,RM;LM;LW;RW,68,Sporting CP,Liga Portugal,Portugal
Gil Dias,LM;RM;LW,68,FC Famalicão,Liga Portugal,Portugal
Emerson Batalla,RW;RM;LW,68,Alianza FC,Sudamericana,Colombia
Malik Batmaz,ST,68,Preußen Münster,Bundesliga 2,Turkey
Nathan Baxter,GK,68,Bolton,EFL League One,England
Jonathan Bay,LB,68,Instituto,Primera División,Argentina
Gökdeniz Bayrakdar,RM;ST;LM;RW,68,Bodrum FK,Trendyol Süper Lig,Turkey
Yanis Begraoui,ST;RM;LM,68,Estoril Praia,Liga Portugal,Morocco
Marcel Beifus,CB,68,Karlsruher SC,Bundesliga 2,Germany
Leon Bell Bell,LB;LM;RB,68,Braunschweig,Bundesliga 2,Cameroon
Alaa Bellaarouch,GK,68,Strasbourg,Ligue 1 McDonald's,Morocco
George Bello,LM;LB;LW,68,LASK,Ö. Bundesliga,United States
Nicola Bellomo,CM;CAM,68,Bari,Serie BKT,Italy
Nicky Beloko,CM;CDM,68,FC Luzern,CSSL,Switzerland
Rico Benatelli,CDM;CM,68,SV Waldhof,3. Liga,Germany
Alan Benítez,RB;RM,68,Cerro Porteño,Libertadores,Paraguay
Lucas Bergvall,CM,68,Spurs,Premier League,Sweden
Jesús Bernal,CDM;CM,68,R. Sporting,LALIGA HYPERMOTION,Spain
Alexander Bernhardsson,RM;RW;ST,68,Holstein Kiel,Bundesliga,Sweden
Mika Biereth,ST,68,SK Sturm Graz,Ö. Bundesliga,Denmark
Filip Bilbija,LM;RM;CAM;LW,68,SC Paderborn 07,Bundesliga 2,Germany
Max Bird,CM;CDM,68,Bristol City,EFL Championship,England
Daniel Bîrligea,ST;LW;RW,68,FCSB,SUPERLIGA,Romania
Tom Bischof,CAM;CM,68,TSG Hoffenheim,Bundesliga,Germany
El Chadaille Bitshiabu,CB,68,RB Leipzig,Bundesliga,France
John Björkengren,CM;CDM,68,Randers FC,3F Superliga,Sweden
Odin Luraas Bjørtuft,CB,68,FK Bodø/Glimt,Eliteserien,Norway
Corey Blackett-Taylor,LM;RM;LW,68,Derby County,EFL Championship,England
Tristan Blackmon,CB;RB,68,Whitecaps FC,MLS,United States
Latif Blessing,CM;CDM;RM,68,Houston Dynamo,MLS,Ghana
Jérôme Boateng,CB,68,LASK,Ö. Bundesliga,Germany
Kennedy Boateng,CB,68,FC Dinamo 1948,SUPERLIGA,Togo
Antonin Bobichon,CM;LM,68,Pau FC,Ligue 2 BKT,France
Victor Bobsin,CDM;CM,68,Daejeon,K League 1,Brazil
Pelle Boevink,GK,68,SC Paderborn 07,Bundesliga 2,Holland
Nicolai Boilesen,CB,68,F.C. København,3F Superliga,Denmark
Facundo Boné,ST;LM,68,Deportes Tolima,Sudamericana,Uruguay
Kady,CAM,68,Ferencvárosi TC,Magyar Liga,Brazil
Mattia Bottani,CAM;ST,68,FC Lugano,CSSL,Switzerland
William Bøving,ST;CAM,68,SK Sturm Graz,Ö. Bundesliga,Denmark
Terrence Boyd,ST,68,SV Waldhof,3. Liga,United States
Quentin Braat,GK,68,R. Oviedo,LALIGA HYPERMOTION,France
Chris Brady,GK,68,Chicago Fire FC,MLS,United States
Bilal Brahimi,CAM;ST,68,SM Caen,Ligue 2 BKT,France
Luke Brattan,CDM;CM,68,Macarthur FC,A-League,Australia
Christopher Braun,RB;LB,68,FC Rapid 1923,SUPERLIGA,Germany
Jonatan Braut-Brunes,ST,68,Raków,PKO BP Ekstraklasa,Norway
Néstor Breitenbruch,CB;RB,68,Atlético Tucumán,Primera División,Argentina
Emil Breivik,CDM;CM,68,Molde FK,Eliteserien,Norway
Fabrizio Brignani,CB,68,Mantova,Serie BKT,Italy
Massimo Bruno,CAM;LM;CM,68,KV Kortrijk,1A Pro League,Belgium
Mustapha Bundu,RW;RM;CAM,68,Plymouth Argyle,EFL Championship,Sierra Leone
Aitor Buñuel,RB;LB,68,Racing de Ferrol,LALIGA HYPERMOTION,Spain
Delano Burgzorg,ST;LM,68,Middlesbrough,EFL Championship,Holland
Dženis Burnić,CDM;CM;RM,68,Karlsruher SC,Bundesliga 2,Germany
Salvatore Burrai,CDM;CM,68,Mantova,Serie BKT,Italy
Alexander Busch,CB,68,Silkeborg IF,3F Superliga,Denmark
Jack Byrne,RW;RM,68,Shamrock Rovers,SSE Airtricity PD,Republic of Ireland
Hernesto Caballero,CDM;CM,68,Libertad,Libertadores,Paraguay
Martín Cáceres,CB;RB,68,LA Galaxy,MLS,Uruguay
Darío Cáceres,LB;LM,68,Defensa,Sudamericana,Paraguay
Gonzalo Verdú,CB,68,FC Cartagena,LALIGA HYPERMOTION,Spain
Maximiliano Caire,RB;CB,68,The Strongest,Libertadores,Argentina
Arturo Calabresi,RB;CB,68,Pisa,Serie BKT,Italy
Brian Calderara,LM;LB;LW,68,Newell's,Primera División,Argentina
Calegari,RB;CDM,68,FC Famalicão,Liga Portugal,Brazil
Iván Calero,RB;RM,68,Real Zaragoza,LALIGA HYPERMOTION,Spain
Fabrizio Caligara,CM,68,Sassuolo,Serie BKT,Italy
Rudy Camacho,CB,68,Columbus Crew,MLS,France
Adama Camara,CM;CDM,68,Paris FC,Ligue 2 BKT,France
Camarasa,CM;CAM;CDM,68,CD Eldense,LALIGA HYPERMOTION,Spain
Campuzano,ST;CAM,68,R. Sporting,LALIGA HYPERMOTION,Spain
Richard,CDM;CM,68,Alanyaspor,Trendyol Süper Lig,Brazil
Ezequiel Cañete,CAM;CM;ST,68,Banfield,Primera División,Argentina
Russell Canouse,CDM;CM,68,D.C. United,MLS,United States
Cantero,ST;LM,68,CD Tenerife,LALIGA HYPERMOTION,Spain
Cao Yunding,LM;CAM;LW,68,Shanghai Shenhua,CSL,China PR
Antonio Caracciolo,CB,68,Pisa,Serie BKT,Italy
Pedro Lima,RB;RM,68,Wolves,Premier League,Brazil
Luis Cardozo,CB;RB,68,Libertad,Libertadores,Paraguay
Fernando Cardozo,RM;LM;LW;RW,68,Newell's,Primera División,Paraguay
Lorenzo Carissoni,LB;RB,68,Cittadella,Serie BKT,Italy
Rafael Carrascal,CM;CDM,68,Cerro Porteño,Libertadores,Colombia
Andy Carroll,ST,68,Amiens SC,Ligue 2 BKT,England
Facundo Agustín Cáseres,CDM;CM,68,Gil Vicente,Liga Portugal,Argentina
Claudio Cassano,CAM;ST,68,Cittadella,Serie BKT,Italy
Nicolás Castillo,ST,68,Uni. Católica,Sudamericana,Chile
Nilson Castrillón,RB,68,América de Cali,Sudamericana,Colombia
Agustín Cayetano,LB;CB,68,Liverpool,Libertadores,Uruguay
Jason Ceka,RW;RM;CAM,68,1. FC Magdeburg,Bundesliga 2,Germany
Bersant Celina,LM;LW;CM,68,AIK,Allsvenskan,Kosovo
Luca Ceppitelli,CB,68,Südtirol,Serie BKT,Italy
Francisco Cerro,CDM;CM,68,Wanderers,Sudamericana,Argentina
Mehdi Chahiri,LM;ST;LW,68,Pau FC,Ligue 2 BKT,France
Aníbal Chalá,LB;LM,68,Barcelona SC,Libertadores,Ecuador
Walter Jhonnier Chalá,CB,68,Barcelona SC,Libertadores,Ecuador
Charilaos Charisis,CM;CDM,68,Sivasspor,Trendyol Süper Lig,Greece
Dion Charles,ST,68,Bolton,EFL League One,Northern Ireland
